#time	counts
27.0219576	0
27.0341792	0
27.0464008	1.5259E-05
27.0586224	1.5259E-05
27.070844	0
27.0830656	1.5259E-05
27.0952872	0
27.1075088	0
27.1197304	3.0518E-05
27.131952	1.5259E-05
27.1441736	1.5259E-05
27.1563952	3.0518E-05
27.1686168	1.5259E-05
27.1808384	3.0518E-05
27.19306	1.5259E-05
27.2052816	4.57771E-05
27.2175032	4.57771E-05
27.2297248	0
27.2419464	3.0518E-05
27.254168	1.5259E-05
27.2663896	3.0518E-05
27.2786112	1.5259E-05
27.2908328	1.5259E-05
27.3030544	4.57771E-05
27.315276	1.5259E-05
27.3274976	1.5259E-05
27.3397192	0
27.3519408	0
27.3641624	1.5259E-05
27.376384	1.5259E-05
27.3886056	1.5259E-05
27.4008272	1.5259E-05
27.4130488	3.0518E-05
27.4252704	7.62951E-05
27.437492	3.0518E-05
27.4497136	4.57771E-05
27.4619352	3.0518E-05
27.4741568	1.5259E-05
27.4863784	0
27.4986	3.0518E-05
27.5108216	3.0518E-05
27.5230432	4.57771E-05
27.5352648	1.5259E-05
27.5474864	3.0518E-05
27.559708	1.5259E-05
27.5719296	3.0518E-05
27.5841512	0
27.5963728	1.5259E-05
27.6085944	1.5259E-05
27.620816	1.5259E-05
27.6330376	1.5259E-05
27.6452592	0
27.6574808	4.57771E-05
27.6697024	4.57771E-05
27.681924	1.5259E-05
27.6941456	0
27.7063672	1.5259E-05
27.7185888	0
27.7308104	4.57771E-05
27.743032	3.0518E-05
27.7552536	1.5259E-05
27.7674752	1.5259E-05
27.7796968	4.57771E-05
27.7919184	1.5259E-05
27.80414	3.0518E-05
27.8163616	0
27.8285832	0
27.8408048	1.5259E-05
27.8530264	4.57771E-05
27.865248	3.0518E-05
27.8774696	6.10361E-05
27.8896912	4.57771E-05
27.9019128	3.0518E-05
27.9141344	1.5259E-05
27.926356	1.5259E-05
27.9385776	3.0518E-05
27.9507992	0
27.9630208	1.5259E-05
27.9752424	6.10361E-05
27.987464	1.5259E-05
27.9996856	1.5259E-05
28.0119072	3.0518E-05
28.0241288	1.5259E-05
28.0363504	0
28.048572	1.5259E-05
28.0607936	1.5259E-05
28.0730152	1.5259E-05
28.0852368	3.0518E-05
28.0974584	1.5259E-05
28.10968	1.5259E-05
28.1219016	0
28.1341232	1.5259E-05
28.1463448	0
28.1585664	6.10361E-05
28.170788	0
28.1830096	0
28.1952312	1.5259E-05
28.2074528	0
28.2196744	1.5259E-05
28.231896	0
28.2441176	0
28.2563392	1.5259E-05
28.2685608	1.5259E-05
28.2807824	0
28.293004	3.0518E-05
28.3052256	1.5259E-05
28.3174472	3.0518E-05
28.3296688	1.5259E-05
28.3418904	1.5259E-05
28.354112	3.0518E-05
28.3663336	1.5259E-05
28.3785552	1.5259E-05
28.3907768	1.5259E-05
28.4029984	0
28.41522	3.0518E-05
28.4274416	1.5259E-05
28.4396632	3.0518E-05
28.4518848	1.5259E-05
28.4641064	3.0518E-05
28.476328	4.57771E-05
28.4885496	0
28.5007712	4.57771E-05
28.5129928	3.0518E-05
28.5252144	0
28.537436	4.57771E-05
28.5496576	3.0518E-05
28.5618792	3.0518E-05
28.5741008	1.5259E-05
28.5863224	1.5259E-05
28.598544	4.57771E-05
28.6107656	3.0518E-05
28.6229872	3.0518E-05
28.6352088	1.5259E-05
28.6474304	3.0518E-05
28.659652	0
28.6718736	1.5259E-05
28.6840952	1.5259E-05
28.6963168	0
28.7085384	3.0518E-05
28.72076	0
28.7329816	1.5259E-05
28.7452032	1.5259E-05
28.7574248	1.5259E-05
28.7696464	1.5259E-05
28.781868	0
28.7940896	0
28.8063112	0
28.8185328	1.5259E-05
28.8307544	3.0518E-05
28.842976	3.0518E-05
28.8551976	3.0518E-05
28.8674192	0
28.8796408	0
28.8918624	3.0518E-05
28.904084	0
28.9163056	4.57771E-05
28.9285272	4.57771E-05
28.9407488	0
28.9529704	1.5259E-05
28.965192	1.5259E-05
28.9774136	3.0518E-05
